EEID,Full Name,Job Title,Department,Business Unit,Gender,Age,Hire Date,Annual Salary,Country,City,Exit Date
E02387,Emily Davis,Sr. Manger,IT,Research & Development,Female,55,4/8/2016,"$1,41,604 ",United States,Seattle,10/16/2021
E04105,Theodore Dinh,Technical Architect,IT,Manufacturing,Male,59,11/29/1997,"$99,975 ",China,Chongqing,
E02572,Luna Sanders,Director,Finance,Speciality Products,Female,50,10/26/2006,"$1,63,099 ",United States,Chicago,
E02832,Penelope Jordan,Computer Systems Manager,IT,Manufacturing,Female,26,9/27/2019,"$84,913 ",United States,Chicago,
E01639,Austin Vo,Sr. Analyst,Finance,Manufacturing,Male,55,11/20/1995,"$95,409 ",United States,Phoenix,
E00644,Joshua Gupta,Account Representative,Sales,Corporate,Male,57,1/24/2017,"$50,994 ",China,Chongqing,
E01550,Ruby Barnes,Manager,IT,Corporate,Female,27,7/1/2020,"$1,19,746 ",United States,Phoenix,
E04332,Luke Martin,Analyst,Finance,Manufacturing,Male,25,5/16/2020,"$41,336 ",United States,Miami,5/20/2021
E04533,Easton Bailey,Manager,Accounting,Manufacturing,Male,29,1/25/2019,"$1,13,527 ",United States,Austin,
E03838,Madeline Walker,Sr. Analyst,Finance,Speciality Products,Female,34,6/13/2018,"$77,203 ",United States,Chicago,
E00591,Savannah Ali,Sr. Manger,Human Resources,Manufacturing,Female,36,2/11/2009,"$1,57,333 ",United States,Miami,
E03344,Camila Rogers,Controls Engineer,Engineering,Speciality Products,Female,27,10/21/2021,"$1,09,851 ",United States,Seattle,
E00530,Eli Jones,Manager,Human Resources,Manufacturing,Male,59,3/14/1999,"$1,05,086 ",United States,Austin,
E04239,Everleigh Ng,Sr. Manger,Finance,Research & Development,Female,51,6/10/2021,"$1,46,742 ",China,Shanghai,
E03496,Robert Yang,Sr. Analyst,Accounting,Speciality Products,Male,31,11/4/2017,"$97,078 ",United States,Austin,3/9/2020
E00549,Isabella Xi,Vice President,Marketing,Research & Development,Female,41,3/13/2013,"$2,49,270 ",United States,Seattle,
E00163,Bella Powell,Director,Finance,Research & Development,Female,65,3/4/2002,"$1,75,837 ",United States,Phoenix,
E00884,Camila Silva,Sr. Manger,Marketing,Speciality Products,Female,64,12/1/2003,"$1,54,828 ",United States,Seattle,
E04116,David Barnes,Director,IT,Corporate,Male,64,11/3/2013,"$1,86,503 ",United States,Columbus,
E04625,Adam Dang,Director,Sales,Research & Development,Male,45,7/9/2002,"$1,66,331 ",China,Chongqing,
E03680,Elias Alvarado,Sr. Manger,IT,Manufacturing,Male,56,1/9/2012,"$1,46,140 ",Brazil,Manaus,
E04732,Eva Rivera,Director,Sales,Manufacturing,Female,36,4/2/2021,"$1,51,703 ",United States,Miami,
E03484,Logan Rivera,Director,IT,Research & Development,Male,59,5/24/2002,"$1,72,787 ",Brazil,Rio de Janerio,
E00671,Leonardo Dixon,Analyst,Sales,Speciality Products,Male,37,9/5/2019,"$49,998 ",United States,Seattle,
E02071,Mateo Her,Vice President,Sales,Speciality Products,Male,44,3/2/2014,"$2,07,172 ",China,Chongqing,
E02206,Jose Henderson,Director,Human Resources,Speciality Products,Male,41,4/17/2015,"$1,52,239 ",United States,Columbus,
E04545,Abigail Mejia,Quality Engineer,Engineering,Corporate,Female,56,2/5/2005,"$98,581 ",Brazil,Rio de Janerio,
E00154,Wyatt Chin,Vice President,Engineering,Speciality Products,Male,43,6/7/2004,"$2,46,231 ",United States,Seattle,
E03343,Carson Lu,Engineering Manager,Engineering,Speciality Products,Male,64,12/4/1996,"$99,354 ",China,Beijing,
E00304,Dylan Choi,Vice President,IT,Corporate,Male,63,5/11/2012,"$2,31,141 ",China,Beijing,
E02594,Ezekiel Kumar,IT Coordinator,IT,Research & Development,Male,28,6/25/2017,"$54,775 ",United States,Columbus,
E00402,Dominic Guzman,Analyst,Finance,Manufacturing,Male,65,5/16/2004,"$55,499 ",Brazil,Manaus,
